Name,type,Date,#,%,INF
7,opu,6/14/2020,208,28.92,6.73
7,opu,6/16/2020,225,30.04,9.78
34,opu,6/16/2020,103,29.38,1.94
7,opu,6/18/2020,217,31.37,5.07
7,opu,6/25/2020,205,34.23,13.66
2,opu,6/25/2020,22,28.17,4.55
34,opu,6/29/2020,41,44.92,0
1,opu,6/29/2020,120,44.28,5.83
7,opu,6/29/2020,283,38.33,12.37
34,opu,6/30/2020,31,39.89,0
2,opu,6/30/2020,7,38.34,0
7,opu,6/30/2020,201,34.83,12.44
1,opu,7/1/2020,345,45.48,4.06
7,opu,7/1/2020,239,37.57,5.02
2,opu,7/4/2020,88,31.49,9.09
1,opu,7/5/2020,229,59.68,7.86
31,opu,7/5/2020,241,45.06,4.15
1,opu,7/6/2020,291,43.15,4.47
31,opu,7/6/2020,7,33.49,2.96
7,opu,7/6/2020,203,33.54,2.96
34,opu,7/6/2020,71,42.01,2.82
1,opu,7/8/2020,408,55.18,6.62
31,opu,7/8/2020,65,51.93,1.54
34,opu,7/8/2020,53,36.12,0
31,opu,7/9/2020,209,47.04,5.26
7,opu,7/9/2020,182,37.44,2.2
2,opu,7/9/2020,27,38.96,0
1,opu,7/9/2020,139,57.12,4.32
2,opu,7/11/2020,157,32.15,1.91
1,opu,7/12/2020,383,51.58,8.09
2,opu,7/12/2020,125,47.79,0.8
1,opu,7/13/2020,356,45.98,5.34
7,opu,7/13/2020,295,42.02,4.75
7,opu,7/15/2020,238,34.88,4.62
2,opu,7/16/2020,241,38.77,2.07
1,opu,7/17/2020,410,55.96,6.1
34,opu,7/17/2020,83,31.85,7.23
2,opu,7/18/2020,174,35.43,5.75
2,opu,7/19/2020,310,43.4,4.19
31,opu,7/19/2020,137,53.59,2.92
1,opu,7/19/2020,361,49.61,15.51
1,opu,7/20/2020,403,52.48,8.19
31,opu,7/20/2020,127,52,3.15
7,opu,7/20/2020,223,31.07,8.97
34,opu,7/20/2020,66,39.72,0
1,opu,7/21/2020,366,51.87,4.92
31,opu,7/21/2020,135,57.35,2.96
34,opu,7/21/2020,74,45.38,5.41
7,opu,7/21/2020,245,31.79,9.39
2,opu,7/23/2020,298,39.1,3.69
7,opu,7/23/2020,201,29.06,10.95
31,opu,7/23/2020,150,52.22,2.67
1,opu,7/24/2020,443,57.14,6.32
34,opu,7/24/2020,114,58.38,3.51
2,opu,7/25/2020,324,44.15,4.63
34,opu,7/25/2020,52,38.24,0
34,opu,7/26/2020,82,54.33,1.22
31,opu,7/26/2020,186,56.26,1.08
1,opu,7/26/2020,439,60.93,7.52
1,opu,7/27/2020,341,50.7,4.11
31,opu,7/27/2020,116,62.57,4.31
7,opu,7/27/2020,293,37.59,10.58
31,opu,7/29/2020,165,48.16,1.82
34,opu,7/29/2020,101,55.55,0
1,opu,7/29/2020,293,64.32,7.85
1,opu,7/31/2020,351,61.06,4.56
2,opu,8/1/2020,302,48.04,1.32
1,opu,8/2/2020,343,47.85,7.29
2,opu,8/2/2020,58,47.25,6.9
1,opu,8/3/2020,371,49.24,4.58
31,opu,8/3/2020,113,61.12,7.96
34,opu,8/3/2020,3.15,11,31.93
7,opu,8/3/2020,188,33.79,4.79
7,opu,8/5/2020,144,30.72,5.56
31,opu,8/5/2020,38,69.87,0
1,opu,8/5/2020,268,39.22,6.72
34,opu,8/5/2020,24,12.56,8.33
2,opu,8/6/2020,95,52.92,11.58
31,opu,8/6/2020,138,63.99,0
1,opu,8/7/2020,335,44.95,5.07
34,opu,8/7/2020,73,44.47,1.37
1,opu,8/17/2020,148,51.53,10.14
31,opu,8/17/2020,56,43.05,8.93
7,opu,8/17/2020,148,23.57,2.03
7,opu,8/19/2020,154,44.89,5.19
34,opu,8/19/2020,84,43.51,3.57
2,opu,8/19/2020,20,49.56,0
1,opu,8/21/2020,442,59.82,6.11
34,opu,8/21/2020,84,44.98,0
